Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
20;Fri;10.02.17;20:30;Mainz 05;2–0;Augsburg;23,371;Opel Arena;Manuel Gräfe;Match Report;
20;Sat;11.02.17;15:30;Darmstadt 98;2–1;Dortmund;17,400;Jonathan-Heimes-Stadion am Böllenfalltor;Wolfgang Stark;Match Report;
20;Sat;11.02.17;15:30;RB Leipzig;0–3;Hamburger SV;42,558;Red Bull Arena;Sascha Stegemann;Match Report;
20;Sat;11.02.17;15:30;Werder Bremen;0–1;M'Gladbach;42,100;Weserstadion;Benjamin Brand;Match Report;
20;Sat;11.02.17;15:30;Leverkusen;3–0;Eint Frankfurt;28,882;BayArena;Benjamin Cortus;Match Report;
20;Sat;11.02.17;15:30;Ingolstadt 04;0–2;Bayern Munich;15,200;Audi-Sportpark;Felix Zwayer;Match Report;
20;Sat;11.02.17;18:30;Schalke 04;2–0;Hertha BSC;61,981;Veltins-Arena;Markus Schmidt;Match Report;
20;Sun;12.02.17;15:30;Wolfsburg;2–1;Hoffenheim;23,148;Volkswagen Arena;Daniel Siebert;Match Report;
20;Sun;12.02.17;17:30;Freiburg;2–1;Köln;24,000;Schwarzwald-Stadion;Robert Hartmann;Match Report;
;;;;;;;;;;;
21;Fri;17.02.17;20:30;Augsburg;1–3;Leverkusen;25,010;WWK Arena;Harm Osmers;Match Report;
21;Sat;18.02.17;15:30;Mainz 05;0–2;Werder Bremen;27,281;Opel Arena;Deniz Aytekin;Match Report;
21;Sat;18.02.17;15:30;Eint Frankfurt;0–2;Ingolstadt 04;46,300;Commerzbank-Arena;Guido Winkmann;Match Report;
21;Sat;18.02.17;15:30;Hoffenheim;2–0;Darmstadt 98;29,013;PreZero Arena;Felix Brych;Match Report;
21;Sat;18.02.17;15:30;Hertha BSC;1–1;Bayern Munich;74,667;Olympiastadion Berlin;Patrick Ittrich;Match Report;
21;Sat;18.02.17;15:30;Dortmund;3–0;Wolfsburg;56,906;Signal Iduna Park;Günter Perl;Match Report;
21;Sat;18.02.17;18:30;Hamburger SV;2–2;Freiburg;49,405;Volksparkstadion;Christian Dingert;Match Report;
21;Sun;19.02.17;15:30;M'Gladbach;1–2;RB Leipzig;51,535;Stadion im Borussia-Park;Felix Zwayer;Match Report;
21;Sun;19.02.17;17:30;Köln;1–1;Schalke 04;50,000;RheinEnergieSTADION;Tobias Stieler;Match Report;
;;;;;;;;;;;
22;Fri;24.02.17;20:30;Wolfsburg;1–2;Werder Bremen;30,000;Volkswagen Arena;Wolfgang Stark;Match Report;
22;Sat;25.02.17;15:30;Darmstadt 98;1–2;Augsburg;16,200;Jonathan-Heimes-Stadion am Böllenfalltor;Jochen Drees;Match Report;
22;Sat;25.02.17;15:30;Leverkusen;0–2;Mainz 05;27,086;BayArena;Benjamin Brand;Match Report;
22;Sat;25.02.17;15:30;Freiburg;0–3;Dortmund;24,000;Schwarzwald-Stadion;Daniel Siebert;Match Report;
22;Sat;25.02.17;15:30;Bayern Munich;8–0;Hamburger SV;75,000;Allianz Arena;Bastian Dankert;Match Report;
22;Sat;25.02.17;15:30;RB Leipzig;3–1;Köln;39,335;Red Bull Arena;Marco Fritz;Match Report;
22;Sat;25.02.17;18:30;Hertha BSC;2–0;Eint Frankfurt;43,323;Olympiastadion Berlin;Sascha Stegemann;Match Report;
22;Sun;26.02.17;15:30;Ingolstadt 04;0–2;M'Gladbach;15,200;Audi-Sportpark;Christian Dingert;Match Report;
22;Sun;26.02.17;17:30;Schalke 04;1–1;Hoffenheim;58,839;Veltins-Arena;Deniz Aytekin;Match Report;
;;;;;;;;;;;
23;Fri;03.03.17;20:30;Augsburg;2–2;RB Leipzig;28,314;WWK Arena;Patrick Ittrich;Match Report;
23;Sat;04.03.17;15:30;Mainz 05;1–1;Wolfsburg;27,238;Opel Arena;Benjamin Cortus;Match Report;
23;Sat;04.03.17;15:30;Dortmund;6–2;Leverkusen;79,100;Signal Iduna Park;Christian Dingert;Match Report;
23;Sat;04.03.17;15:30;Hoffenheim;5–2;Ingolstadt 04;23,028;PreZero Arena;Bastian Dankert;Match Report;
23;Sat;04.03.17;15:30;Köln;0–3;Bayern Munich;50,000;RheinEnergieSTADION;Jochen Drees;Match Report;
23;Sat;04.03.17;15:30;Werder Bremen;2–0;Darmstadt 98;41,000;Weserstadion;Guido Winkmann;Match Report;
23;Sat;04.03.17;18:30;M'Gladbach;4–2;Schalke 04;54,014;Stadion im Borussia-Park;Manuel Gräfe;Match Report;
23;Sun;05.03.17;15:30;Eint Frankfurt;1–2;Freiburg;51,500;Commerzbank-Arena;Günter Perl;Match Report;
23;Sun;05.03.17;17:30;Hamburger SV;1–0;Hertha BSC;44,445;Volksparkstadion;Felix Brych;Match Report;
;;;;;;;;;;;
24;Fri;10.03.17;20:30;Leverkusen;1–1;Werder Bremen;30,210;BayArena;Tobias Stieler;Match Report;
24;Sat;11.03.17;15:30;RB Leipzig;0–1;Wolfsburg;42,558;Red Bull Arena;Benjamin Brand;Match Report;
